AdjustmentType,User,SKU,Quantity,Source Inventory Type,Source Container,Source Expiration Date,Source Lot Number,Destination Inventory Type,Destination Container,Destination Expiration Date,Destination Lot Number,Creation Date,Comment
RECEIVE,pepaulos,B07THM1F4J,4,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A117E350,,null,01/16/2026 23:59:50 BRT,P-1-A117E350
RECEIVE,pepaulos,B0778SDX1N,2,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A117E320,,null,01/16/2026 23:58:32 BRT,P-1-A117E320
RECEIVE,pepaulos,B0DF97H5GT,2,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A117D310,06/02/2030 00:00:00 BRT,null,01/16/2026 23:57:56 BRT,P-1-A117D310
RECEIVE,lopescur,B0BPYR1B98,2,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A118D300,,null,01/16/2026 23:57:35 BRT,P-1-A118D300
RECEIVE,patrilde,B0CJ3Z9N6H,2,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A108D365,,null,01/16/2026 23:57:22 BRT,P-1-A108D365
RECEIVE,patrilde,B0785W229C,2,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A107A100,,null,01/16/2026 23:57:04 BRT,P-1-A107A100
RECEIVE,patrilde,B09FCD8K72,1,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A107A125,,null,01/16/2026 23:56:05 BRT,P-1-A107A125
RECEIVE,pepaulos,B071FNWFJR,4,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A117D310,,null,01/16/2026 23:55:52 BRT,P-1-A117D310
RECEIVE,patrilde,B09FCD8K72,1,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A107A140,,null,01/16/2026 23:55:48 BRT,P-1-A107A140
RECEIVE,patrilde,B0CJ3R1537,1,,GIG1_VBJ1_b94b132c-0269-4cd5-941c-1d8ef44f2b5c,,null,PRIME_SELLABLE,P-1-A107A150,,null,01/16/2026 23:55:18 BRT,P-1-A107A150
