AdjustmentType,User,SKU,Quantity,Source Inventory Type,Source Container,Source Expiration Date,Source Lot Number,Destination Inventory Type,Destination Container,Destination Expiration Date,Destination Lot Number,Creation Date,Comment
RECEIVE,pepaulos,B0B6Q2SH4Y,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A116E250,,null,01/15/2026 23:59:51 BRT,P-1-A116E250
RECEIVE,patrilde,B07VDL3M9Z,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A108A330,,null,01/15/2026 23:59:49 BRT,P-1-A108A330
RECEIVE,patrilde,853766703X,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A107D150,,null,01/15/2026 23:59:22 BRT,P-1-A107D150
RECEIVE,pepaulos,B0CJ3Z9N6H,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A116E225,,null,01/15/2026 23:59:18 BRT,P-1-A116E225
RECEIVE,patrilde,8551000020,1,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A108G330,,null,01/15/2026 23:59:03 BRT,P-1-A108G330
RECEIVE,pepaulos,B0CGY4R56V,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A116D220,,null,01/15/2026 23:58:51 BRT,P-1-A116D220
RECEIVE,patrilde,B0CN1KXR2N,3,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A107E155,,null,01/15/2026 23:58:44 BRT,P-1-A107E155
RECEIVE,pepaulos,8520006116,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A116F240,,null,01/15/2026 23:58:25 BRT,P-1-A116F240
RECEIVE,patrilde,859472893X,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A107D150,,null,01/15/2026 23:58:16 BRT,P-1-A107D150
RECEIVE,lopescur,B09LNKQYND,2,,GIG1_VBJ1_a6cae5ea-ff8b-4e4d-b82f-4a877a2e6e15,,null,PRIME_SELLABLE,P-1-A107A405,,null,01/15/2026 23:58:00 BRT,P-1-A107A405
